"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"EU27_2020",2022,"S_AA",412,"Not stated","2677,74",,
"EU27_2020",2022,"S_AA",723,"Not stated",3675193,,
"EU27_2020",2022,"S_AA","Not stated","Not stated",964389,,
"EU27_2020",2022,"S_AA",500,"Not stated",,"x",
"EU27_2020",2022,"S_AA",961,"Not stated",570249,,
"EU27_2020",2022,"S_AA",521,"Not stated",772057,,
"EU27_2020",2022,"S_AA",341,"Not stated",1805287,,
"EU27_2020",2022,"S_AA",753,"Not stated","922,31",,
"EU27_2020",2022,"S_AA",322,"Not stated",2754199,,
"EU27_2020",2022,"S_AA",231,"Not stated",1270779,,
"EU27_2020",2022,"S_AA",754,"Not stated",643651,,
"EU27_2020",2022,"S_AA",750,"Not stated",,"x",
"EU27_2020",2022,"S_AA",314,"Not stated",310753,,
"EU27_2020",2022,"S_AA",700,"Not stated",51003,,
"EU27_2020",2022,"S_AA",312,"Not stated",1839682,,
"EU27_2020",2022,"S_AA",352,"Not stated",397594,,
"EU27_2020",2022,"S_AA",712,"Not stated",2476388,,
"EU27_2020",2022,"S_AA",930,"Not stated",,"x",
"EU27_2020",2022,"S_AA",325,"Not stated",2219405,,
"EU27_2020",2022,"S_AA",265,"Not stated",809343,,
"EU27_2020",2022,"S_AA",621,"Not stated",194526,,
"EU27_2020",2022,"S_AA",732,"Not stated",408171,,
"EU27_2020",2022,"S_AA",225,"Not stated",189232,,
"EU27_2020",2022,"S_AA",422,"Not stated",2734144,,
"BE",2022,"S_AA",813,"Not stated",15675,,
"BE",2022,"S_AA",324,"Not stated",,"x",
"BE",2022,"S_AA",711,"Not stated",119171,,
"BE",2022,"S_AA",633,"Not stated",,"x",
"BE",2022,"S_AA",264,"Not stated",23915,,
"BE",2022,"S_AA",723,"Not stated",69935,,
"BE",2022,"S_AA",321,"Not stated",21278,,
"BE",2022,"S_AA",941,"Not stated",35424,,
"BE",2022,"S_AA",532,"Not stated",105931,,
"BE",2022,"S_AA",341,"Not stated",48793,,
"BE",2022,"S_AA",225,"Not stated",6591,,
"BE",2022,"S_AA",721,"Not stated",30414,,
"BE",2022,"S_AA",741,"Not stated",51936,,
"BE",2022,"S_AA",612,"Not stated","6,2",,
"BE",2022,"S_AA",754,"Not stated","11,68",,
"BE",2022,"S_AA",515,"Not stated",13313,,
"BE",2022,"S_AA",933,"Not stated",86547,,
"BE",2022,"S_AA",821,"Not stated",25681,,
"BE",2022,"S_AA",818,"Not stated","16,68",,
"BE",2022,"S_AA",31,"Not stated",11629,,
"BE",2022,"S_AA",313,"Not stated",7102,,
"BE",2022,"S_AA",132,"Not stated",41696,,
"BE",2022,"S_AA",352,"Not stated",9602,,
"BE",2022,"S_AA",333,"Not stated",44924,,
"BE",2022,"S_AA",235,"Not stated","64,59",,
"BE",2022,"S_AA",912,"Not stated",12242,,
"BE",2022,"S_AA",951,"Not stated",,"x",
"BE",2022,"S_AA",512,"Not stated",27357,,
"BE",2022,"S_AA",213,"Not stated",15034,,
"BE",2022,"S_AA",931,"Not stated","5,02",,
"BE",2022,"S_AA",265,"Not stated",26258,,
"BE",2022,"S_AA",211,"Not stated",8571,,
"BE",2022,"S_AA",531,"Not stated",57849,,
"BE",2022,"S_AA",816,"Not stated",29364,,
"BE",2022,"S_AA",242,"Not stated",100148,,
"BE",2022,"S_AA",952,"Not stated",,"x",
"BE",2022,"S_AA",133,"Not stated",21492,,
"BE",2022,"S_AA",831,"Not stated",7445,,
"BE",2022,"S_AA",226,"Not stated",95703,,
"BE",2022,"S_AA",314,"Not stated",3566,"u",
"BE",2022,"S_AA",731,"Not stated",4355,"u",
"BE",2022,"S_AA",621,"Not stated",2327,"u",
"BE",2022,"S_AA",342,"Not stated",14656,,
"BE",2022,"S_AA",611,"Not stated",33462,,
"BE",2022,"S_AA",835,"Not stated",,"x",
"BE",2022,"S_AA",411,"Not stated",324514,,
"BE",2022,"S_AA",713,"Not stated",16025,,
"BE",2022,"S_AA",522,"Not stated",202042,,
"BE",2022,"S_AA",234,"Not stated",118838,,
"BE",2022,"S_AA",413,"Not stated",,"x",
"BE",2022,"S_AA",112,"Not stated","75,11",,
"BE",2022,"S_AA",516,"Not stated",13384,,
"BE",2022,"S_AA",232,"Not stated",30251,,
"BE",2022,"S_AA",331,"Not stated","48,4",,
"BE",2022,"S_AA",216,"Not stated",64515,,
"BE",2022,"S_AA",223,"Not stated",,"x",
"BE",2022,"S_AA",431,"Not stated",62931,,
"BE",2022,"S_AA","Not applicable","Not stated",4601658,,
"BE",2022,"S_AA",412,"Not stated",28472,,
"BE",2022,"S_AA",222,"Not stated","71,85",,
"BE",2022,"S_AA",142,"Not stated",19506,,
"BE",2022,"S_AA",214,"Not stated","55,8",,
"BE",2022,"S_AA",814,"Not stated",11985,,
"BE",2022,"S_AA",241,"Not stated",76523,,
"BE",2022,"S_AA",962,"Not stated",32665,,
"BE",2022,"S_AA",514,"Not stated",37744,,
"BE",2022,"S_AA",811,"Not stated","2,63","u",
"BE",2022,"S_AA",243,"Not stated",40516,,
"BE",2022,"S_AA",752,"Not stated",4824,"u",
"BE",2022,"S_AA",231,"Not stated",33871,,
"BE",2022,"S_AA",335,"Not stated",33219,,
"BE",2022,"S_AA",263,"Not stated","89,2",,
"BE",2022,"S_AA",221,"Not stated",42411,,
"BE",2022,"S_AA",11,"Not stated",3561,"u",
"BE",2022,"S_AA",722,"Not stated",10288,,
"BE",2022,"S_AA",122,"Not stated",84733,,
"BE",2022,"S_AA",261,"Not stated",54451,,
"BE",2022,"S_AA",111,"Not stated",13248,,
"BE",2022,"S_AA",325,"Not stated",20423,,
"BE",2022,"S_AA",521,"Not stated",6291,,
"BE",2022,"S_AA",323,"Not stated",,"x",
"BE",2022,"S_AA",21,"Not stated",6343,,
"BE",2022,"S_AA",511,"Not stated","13,06",,
"BE",2022,"S_AA",141,"Not stated",30669,,
"BE",2022,"S_AA",832,"Not stated",36396,,
"BE",2022,"S_AA",252,"Not stated",26078,,
"BE",2022,"S_AA",432,"Not stated","101,13",,
"BE",2022,"S_AA",524,"Not stated",13509,,
"BE",2022,"S_AA",233,"Not stated",109813,,
"BE",2022,"S_AA",312,"Not stated","60,84",,
"BE",2022,"S_AA",134,"Not stated",33281,,
"BE",2022,"S_AA",215,"Not stated",15859,,
"BE",2022,"S_AA",712,"Not stated",62698,,
"BE",2022,"S_AA",421,"Not stated",9083,,
"BE",2022,"S_AA",921,"Not stated",22542,,
"BE",2022,"S_AA",613,"Not stated",8749,,
"BE",2022,"S_AA",212,"Not stated",3082,"u",
